,Short_description,Description,Caller,Assignment_group,clean_desc
0,login issue,"-verified user details.(employee# & manager name)
-checked the user name in ad and reset the password.
-advised the user to login and check.
-caller confirmed that he was able to login.
-issue resolved.",spxjnwir pjlcoqds,0,login issue verify user detail employee manager check the and reset password advise caller confirm that be able resolve
1,outlook,"

received from: hmjdrvpb.komuaywn@gmail.com

hello team,

my meetings/skype meetings etc are not appearing in my outlook calendar, can somebody please advise how to correct this?

kind ",hmjdrvpb komuaywn,0,outlook team meeting skype etc be not appear calendar can somebody please advise how correct this kind
2,cant log in to vpn,"

received from: eylqgodm.ybqkwiam@gmail.com

hi

i cannot log on to vpn

best ",eylqgodm ybqkwiam,0,log vpn can not best
3,unable to access hr_tool page,unable to access hr_tool page,xbkucsvz gcpydteq,0,unable access hrtool pageunable page
4,skype error ,skype error ,owlgqjme qhcozdfx,0,skype error
5,unable to log in to engineering tool and skype,unable to log in to engineering tool and skype,eflahbxn ltdgrvkz,0,unable log engineering tool and skypeunable skype
6,event: critical:HostName_221.company.com the value of mountpoint threshold for /oracle/SID_37/erpdata21/ ,"event: critical:HostName_221.company.com the value of mountpoint threshold for /oracle/SID_37/erpdata21/sr3psa1d_7/sr3psa1d.data7,perpsr3psa1d,4524 is 98",jyoqwxhz clhxsoqy,1,event critical host company com the value mountpoint threshold for oracle sid erpdata psa datum perpsr
7,ticket_no1550391- employment status - new non-employee [enter user's name],ticket_no1550391- employment status - new non-employee [enter user's name],eqzibjhw ymebpoih,0,ticketno employment status new non employee enter user
8,unable to disable add ins on outlook,unable to disable add ins on outlook,mdbegvct dbvichlg,0,unable disable add in outlookunable outlook
9,ticket update on inplant_874773,ticket update on inplant_874773,fumkcsji sarmtlhy,0,ticket update inplant
10,engineering tool says not connected and unable to submit reports,engineering tool says not connected and unable to submit reports,badgknqs xwelumfz,0,engineering tool say not connect and unable submit reportsengineere report
11,hr_tool site not loading page correctly,hr_tool site not loading page correctly,dcqsolkx kmsijcuz,0,hrtool site not load page correctlyhrtool correctly
12,unable to login to hr_tool to sgxqsuojr xwbesorf cards,unable to login to hr_tool to sgxqsuojr xwbesorf cards,oblekmrw qltgvspb,0,unable login hrtool sgxqsuojr xwbesorf cardsunable cards
13,user wants to reset the password,user wants to reset the password,iftldbmu fujslwby,0,user want reset the passworduser password
14,unable to open payslips ,unable to open payslips ,epwyvjsz najukwho,0,unable open payslip
15,ticket update on inplant_874743,ticket update on inplant_874743,fumkcsji sarmtlhy,0,ticket update inplant
16,unable to login to company vpn,"

received from: xyz@company.com

hi,

i am unable to login to company vpn website, trying to open a new session using the below link, but not able to get through pls help urgently as we are working from home tomorrow due to month end closing. ",chobktqj qdamxfuc,0,unable login company vpn website try open new session use the below link but not able get through pls help urgently be work home tomorrow due month end close
17,"when undocking pc , screen will not come back","when undocking pc , screen will not come back",sigfdwcj reofwzlm,23,when undocking screen will not come backwhen undock back
18,erp SID_34 account locked,erp SID_34 account locked,nqdyowsm yqerwtna,0,erp sid account lockederp lock
19,unable to sign into vpn,unable to sign into vpn,ftsqkvre bqzrupic,0,unable sign into vpnunable vpn
20,unable to check payslips,unable to check payslips,mrzgjdal whnldmef,0,unable check payslipsunable payslip
21,vpn issue,"

received from: ugephfta.hrbqkvij@gmail.com

hello helpdesk

i am not able to connect vpn from home office. couple f hours ago i was connected, now it is not working anymore. getting a message that my session expired but if i click on the link, nothing happens.

[cid:image001.jpg@01d233aa.3f618be0]

*********************

need help with your dynamics crm?
click here<

chat with a live agent regarding your dynamics crm questions now! click here<

best ",ugephfta hrbqkvij,0,vpn issue helpdesk not able connect home office couple hour ago be now work anymore get message that session expire but click the link nothing happen cid nee help with - dynamic crm here chat live agent regard question best
22,unable to connect to vpn,unable to connect to vpn,pfmcnahv ofzlusri,0,unable connect vpnunable vpn
23,user called for vendor phone number,user called for vendor phone number,fumkcsji sarmtlhy,0,user call for vendor phone numberuser number
24,vpn not working,"

received from: dceoufyz.saufqkmd@gmail.com

hello,

i'm not being able to connect to company network through the vpn. pls check.

cc: sir-i am not being able to upload as a result of no company network.

",dceoufyz saufqkmd,0,vpn not work iam be able connect company network through the pls check sir upload result
25,erp SID_37 password reset ,erp SID_37 password reset ,jqhtkfsm xoehtbnl,0,erp sid password reset
26,unable to login to hr_tool to check payslips,unable to login to hr_tool to check payslips,dtisfuyp fpvrjlkz,0,unable login hrtool check payslipsunable payslip
27,account locked out,account locked out,lduqxywt wcydjgvl,0,account lock outaccount out
28,unable to login to hr_tool,unable to login to hr_tool,mwebfhdz csndrxgi,0,unable login hrtoolunable hrtool
29,unable to log in to erp SID_34 ,unable to log in to erp SID_34 ,hvskpglx bpsfxmon,0,unable log erp sid
30,password reset for collaboration_platform,password reset for collaboration_platform,wrlzneit ayqutwgh,0,password reset for collaborationplatformpassword collaborationplatform
31,reset  users,"hi

please reset users password

client id: 794
username : xyz

",qcehailo wqynckxg,0,reset user please password client xyz
32,duplication of network address.,"

received from: kxsceyzo.naokumlb@gmail.com

gentles,

i have two devices that are trying to share an ip address. they are trying to share 96.26.27.9619. one is a printer with the hostname of prtjc0074, and the other is a new display for erp. the display is using dhcp to get its address assigned and the printer is hard coded.

my guess is that the address 96.26.27.9619 did not get set to a static address in dhcp. i need this corrected so the display will pick up another address.

",kxsceyzo naokumlb,34,duplication network address gentle have two device that be try share - one printer with the host prtjc and other new display for erp use dhcp get assign hard code guess do not set static need this correct will pick another
33,ess password reset,ess password reset,fsqwkbez eudsantq,0,ess password resetess reset
34,unable to install flash player,unable to install flash player,xzbhmfpg bhqxesym,0,unable install flash playerunable player
35,ticket_no1564677-employment status - new non-employee ,"ticket_no1564677-employment status - new non-employee 
",eqzibjhw ymebpoih,0,ticketno employment status new non employee
36,erp SID_34 account unlock and password reset,erp SID_34 account unlock and password reset,ztlvkmyi xldyitwz,0,erp sid account unlock and password reseterp reset
37,unable to resolve ticket_no assigned to self,the status button is dierppearing after a few seconds.,shloyakw jztsxdln,0,unable resolve ticketno assign selfthe status button dierppeare after few
38,installing engineering tool,need to install engineering tool on the pc,qcxivzag vyucbagx,0,instal engineering toolneed install tool the
39,call for ecwtrjnq jpecxuty,call for ecwtrjnq jpecxuty,olckhmvx pcqobjnd,0,call for ecwtrjnq jpecxutycall jpecxuty
40,ticket update - inplant_874615,ticket update - inplant_874615,olckhmvx pcqobjnd,0,ticket update inplant
41,tablet 7350-sound not working,tablet 7350-sound not working,eqxakzyi cwfrjitq,0,tablet sound not workingtablet work
42,unable to login to system,unable to login to system,zcaeryfo tdovhslb,0,unable login systemunable system
43,please reroute jobs on printer01 to printer02 - issue needs to be resolved today,"

received from: yisohglr.uvteflgb@gmail.com

hi -

the printer01 printer is not working and needs a part replaced.  can you reroute the jobs in queue to printer printer02?   wihuyjdo qpogfwkb has indicated that prqos001 needs a new part and it may not deliver for a few days so the inwarehouse_tools will need to print on printer02 for now.  this needs to be taken care of today since the inwarehouse_tools are printed and are picked up by an outside vendor at 2:30 pm in usa on a daily basis.   please contact dkmcfreg anwmfvlgenkataramdntyana if you have questions about the jobs in queue for today.

",yisohglr uvteflgb,45,please reroute job printer issue need resolve the not work and part replace can - queue wihuyjdo qpogfwkb have indicate that prqos new may deliver for few day inwarehousetool will print now this take care since be pick outside vendor usa daily basis contact dkmcfreg anwmfvlgenkataramdntyana question about
44,unable to login to hr_tool etime,unable to login to hr_tool etime,wxdrynag hlktazfm,0,unable login hrtool etimeunable etime
45,can not log into hr_tool etime through single sign on portal,can not log into hr_tool etime through single sign on portal,wpdxlbhz etvzjmhx,0,can not log into hrtool etime through single sign portalcan portal
46,password changed in password_management_tool but didnt update for erp account,password changed in password_management_tool but didnt update for erp account,lduqxywt wcydjgvl,0,password change passwordmanagementtool but do update for erp accountpassword account
47,job Job_1424 failed in job_scheduler at: 10/31/2016 09:06:00  ,"received from: monitoring_tool@company.com

job Job_1424 failed in job_scheduler at: 10/31/2016 09:06:00",bpctwhsn kzqsbmtp,56,job fail jobscheduler
48,windows password change via password_management_tool,windows password change via password_management_tool,boyqfsca yoqrmnep,0,windows password change via passwordmanagementtoolwindow passwordmanagementtool
